Species_No,Petal_width,Petal_length,Sepal_width,Sepal_length,Species_name
1.0,0.3706434041289891,1.3492351596940313,4.153598678960673,5.1402261361278345,Setosa
1.0,0.1833083455344613,1.573277957403697,3.2071738059127903,5.273847056999949,Setosa
1.0,0.04314236592133652,1.4595309358811142,3.9172859149624397,4.866360705074408,Setosa
1.0,0.26045849425913253,1.3847761470760214,3.3022784441735378,4.930193330623297,Setosa
1.0,0.21648312987314666,1.828406261500881,3.183710306181903,5.0981891230018395,Setosa
1.0,0.08611417179496006,1.5340481315522405,2.758889702767173,4.946068765611339,Setosa
1.0,0.22870440553344243,1.3242392109902164,3.4532624820851585,4.780325408031651,Setosa
1.0,0.33377711724158277,1.57031590499063,3.409168639622899,5.089189586383283,Setosa
1.0,0.272706998984657,1.3484673158519818,3.09360273259453,5.15296644151763,Setosa
1.0,0.22101971907981427,1.6751835763585978,4.169910491234543,5.03434818874324,Setosa
1.0,0.39714530070841103,1.2706100710258985,3.421828385621582,4.238355475690819,Setosa
1.0,0.2658222388582105,1.328928354571635,3.658251963688715,5.204289603429725,Setosa
1.0,0.3242778161012296,1.5969697756994383,3.532477865187455,5.197924798850913,Setosa
1.0,0.24077971931020095,1.5588624671323363,3.762964931547345,5.151728049404806,Setosa
1.0,0.31904746627263936,1.4549647744443546,3.76175794672108,4.108019203421712,Setosa
1.0,10.0,1.224479132806724,2.81126855460236,5.385793199201703,Setosa
1.0,0.35063023572989044,1.5398733875753914,4.184208159036494,4.881532142307334,Setosa
1.0,0.36971591888918254,1.9273306090795987,3.63853220511994,4.966184061238387,Setosa
1.0,0.1756683576084277,1.1722086593341579,3.0275867077902774,5.308405611437923,Setosa
1.0,0.43636736107629204,1.1534449541591885,3.707115494807873,5.938430761657178,Setosa
1.0,0.2375087512509344,1.3942244386061322,3.731643841322024,5.3773654945279405,Setosa
1.0,0.31383525367748466,1.399723065251695,3.7639871395841746,4.719118601848279,Setosa
1.0,0.25368970803889596,1.3828369032663181,3.058494875468737,4.472244090805219,Setosa
1.0,0.41496853594610034,1.5798496040654424,3.2605042049520345,4.6361451518069785,Setosa
1.0,0.086025781373046,1.508724353432312,3.7925075255852,4.833454567959413,Setosa
1.0,0.285389944498023,1.8041374695276569,4.041661826314481,5.404801681030496,Setosa
1.0,0.3039627026931897,1.5835150979459856,3.1915928738695443,4.873996857236739,Setosa
1.0,0.5859925312505916,1.257494098649466,3.188858812518603,5.102148424686864,Setosa
1.0,0.1830478289308728,1.7202217187240434,2.972210313436104,3.9305000087651303,Setosa
1.0,0.3290725619643625,1.5792905125907457,3.316173749119168,4.3644556233182445,Setosa
1.0,-5.0,1.434097621330024,3.5066999987317695,4.924131232513515,Setosa
1.0,0.2564859864014528,1.7144440991287972,3.5869479158683926,4.977101060418694,Setosa
1.0,0.339211903447065,1.5560450853255032,3.766222488354084,5.059376692789619,Setosa
1.0,0.20699509040642183,1.3841709474197532,3.9194715924143617,5.4814986321949455,Setosa
1.0,0.13405237927851882,1.5225684430407995,3.5307625480871505,5.470359087602266,Setosa
1.0,0.3117372975249769,1.358883192294909,3.7981719193192998,4.597952576410304,Setosa
1.0,0.28291104778896076,1.33302404570896,3.5354309945278475,4.996791029631671,Setosa
1.0,0.41150407683891416,1.5516673439935575,3.7235800184132266,4.936403099196739,Setosa
1.0,0.14048334827945128,1.3027407960354458,3.1103241320477735,5.18612712495623,Setosa
1.0,0.32717796544483707,1.282839125848562,3.4528206403436577,5.49435430050563,Setosa
1.0,0.13677483705118385,1.609345995082733,3.098168268133084,5.429332081509979,Setosa
1.0,0.4009312892833816,1.6217110194469448,3.417963444180276,4.160027579180015,Setosa
1.0,0.3140722305170289,1.28886016161638,3.599398668855347,5.310553763913069,Setosa
1.0,0.27533057393737786,1.4580001967910667,3.060759306297015,5.252413441212728,Setosa
1.0,0.3157830983840086,1.5312880941343265,3.2932081487547795,4.9480349604717535,Setosa
1.0,0.35303631868047525,1.4304694681762966,4.002565683687349,4.8441148472615145,Setosa
1.0,0.3344596119857501,1.542223496699131,3.803915769686821,5.0396363859970865,Setosa
1.0,0.3641952491971464,1.6936611223892128,3.608317208848086,4.473668113151752,Setosa
1.0,0.31205234520878794,1.4759436748939767,3.0994575483627886,5.519887370296203,Setosa
1.0,0.3018812385454325,1.7724868500136175,3.6621722162356307,4.853838883496082,Setosa
1.0,0.3801329606779018,1.407765389697026,4.124046717782507,5.323094160882313,Setosa
